problem_id,arm,dist1,dist2,min,max,spread,solved,node_count,expansions,disjunct_reached,picked_cheapest,hops1,hops2,cheaper_by_cost,cheaper_by_hops,agree
0,BFS,218.18338060126496,442.3983945353251,218.18338060126496,442.3983945353251,224.21501393406015,True,331,82,d1,True,41,82,d1,d1,True
0,DFS,218.18338060126496,442.3983945353251,218.18338060126496,442.3983945353251,224.21501393406015,True,167,41,d1,True,41,82,d1,d1,True
0,CheapestFirst,218.18338060126496,442.3983945353251,218.18338060126496,442.3983945353251,224.21501393406015,True,327,81,d1,True,41,82,d1,d1,True
0,DNF,218.18338060126496,442.3983945353251,218.18338060126496,442.3983945353251,224.21501393406015,True,495,123,,,41,82,d1,d1,True
1,BFS,570.9265876017248,569.2618763687353,569.2618763687353,570.9265876017248,1.6647112329894753,True,400,100,d2,True,97,96,d2,d2,True
1,DFS,570.9265876017248,569.2618763687353,569.2618763687353,570.9265876017248,1.6647112329894753,True,391,97,d1,False,97,96,d2,d2,True
1,CheapestFirst,570.9265876017248,569.2618763687353,569.2618763687353,570.9265876017248,1.6647112329894753,True,400,100,d2,True,97,96,d2,d2,True
1,DNF,570.9265876017248,569.2618763687353,569.2618763687353,570.9265876017248,1.6647112329894753,True,775,193,,,97,96,d2,d2,True
2,BFS,281.345315438102,516.7256637327175,281.345315438102,516.7256637327175,235.38034829461554,True,384,96,d1,True,51,92,d1,d1,True
2,DFS,281.345315438102,516.7256637327175,281.345315438102,516.7256637327175,235.38034829461554,True,207,51,d1,True,51,92,d1,d1,True
2,CheapestFirst,281.345315438102,516.7256637327175,281.345315438102,516.7256637327175,235.38034829461554,True,384,96,d1,True,51,92,d1,d1,True
2,DNF,281.345315438102,516.7256637327175,281.345315438102,516.7256637327175,235.38034829461554,True,575,143,,,51,92,d1,d1,True
3,BFS,175.1720367461793,561.4866021147403,175.1720367461793,561.4866021147403,386.31456536856103,True,251,62,d1,True,31,100,d1,d1,True
3,DFS,175.1720367461793,561.4866021147403,175.1720367461793,561.4866021147403,386.31456536856103,True,127,31,d1,True,31,100,d1,d1,True
3,CheapestFirst,175.1720367461793,561.4866021147403,175.1720367461793,561.4866021147403,386.31456536856103,True,255,63,d1,True,31,100,d1,d1,True
3,DNF,175.1720367461793,561.4866021147403,175.1720367461793,561.4866021147403,386.31456536856103,True,527,131,,,31,100,d1,d1,True
4,BFS,528.0713024073702,457.48172013729203,457.48172013729203,528.0713024073702,70.58958227007821,True,408,102,d2,True,98,82,d2,d2,True
4,DFS,528.0713024073702,457.48172013729203,457.48172013729203,528.0713024073702,70.58958227007821,True,398,98,d1,False,98,82,d2,d2,True
4,CheapestFirst,528.0713024073702,457.48172013729203,457.48172013729203,528.0713024073702,70.58958227007821,True,408,102,d2,True,98,82,d2,d2,True
4,DNF,528.0713024073702,457.48172013729203,457.48172013729203,528.0713024073702,70.58958227007821,True,731,182,,,98,82,d2,d2,True
5,BFS,408.8063330424768,254.2549092916164,254.2549092916164,408.8063330424768,154.5514237508604,True,308,77,d2,True,74,47,d2,d2,True
5,DFS,408.8063330424768,254.2549092916164,254.2549092916164,408.8063330424768,154.5514237508604,True,299,74,d1,False,74,47,d2,d2,True
5,CheapestFirst,408.8063330424768,254.2549092916164,254.2549092916164,408.8063330424768,154.5514237508604,True,308,77,d2,True,74,47,d2,d2,True
5,DNF,408.8063330424768,254.2549092916164,254.2549092916164,408.8063330424768,154.5514237508604,True,487,121,,,74,47,d2,d2,True
6,BFS,17.579855645719366,210.77011915221442,17.579855645719366,210.77011915221442,193.19026350649506,True,27,6,d1,True,3,34,d1,d1,True
