problem_id,arm,dist1,dist2,min,max,spread,solved,node_count,expansions,disjunct_reached,picked_cheapest
0,BFS,40,16,16,40,24,True,127,31,d2,True
0,DFS,40,16,16,40,24,True,163,40,d1,False
0,CheapestFirst,40,16,16,40,24,True,163,40,d1,False
1,BFS,44,82,44,82,38,True,336,84,d1,True
1,DFS,44,82,44,82,38,True,179,44,d1,True
1,CheapestFirst,44,82,44,82,38,True,179,44,d1,True
2,BFS,9,27,9,27,18,True,75,18,d1,True
2,DFS,9,27,9,27,18,True,39,9,d1,True
2,CheapestFirst,9,27,9,27,18,True,39,9,d1,True
3,BFS,5,24,5,24,19,True,43,10,d1,True
3,DFS,5,24,5,24,19,True,23,5,d1,True
3,CheapestFirst,5,24,5,24,19,True,99,24,d2,False
4,BFS,10,83,10,83,73,True,83,20,d1,True
4,DFS,10,83,10,83,73,True,43,10,d1,True
4,CheapestFirst,10,83,10,83,73,True,43,10,d1,True
5,BFS,57,88,57,88,31,True,372,93,d1,True
5,DFS,57,88,57,88,31,True,231,57,d1,True
5,CheapestFirst,57,88,57,88,31,True,355,88,d2,False
6,BFS,22,35,22,35,13,True,152,38,d1,True
6,DFS,22,35,22,35,13,True,91,22,d1,True
6,CheapestFirst,22,35,22,35,13,True,91,22,d1,True
7,BFS,76,98,76,98,22,True,404,101,d1,True
7,DFS,76,98,76,98,22,True,307,76,d1,True
7,CheapestFirst,76,98,76,98,22,True,307,76,d1,True
8,BFS,57,68,57,68,11,True,288,72,d1,True
8,DFS,57,68,57,68,11,True,231,57,d1,True
8,CheapestFirst,57,68,57,68,11,True,231,57,d1,True
9,BFS,47,67,47,67,20,True,280,70,d1,True
9,DFS,47,67,47,67,20,True,191,47,d1,True
9,CheapestFirst,47,67,47,67,20,True,191,47,d1,True
10,BFS,22,27,22,27,5,True,120,30,d1,True
10,DFS,22,27,22,27,5,True,91,22,d1,True
10,CheapestFirst,22,27,22,27,5,True,111,27,d2,False
11,BFS,42,54,42,54,12,True,228,57,d1,True
11,DFS,42,54,42,54,12,True,171,42,d1,True
11,CheapestFirst,42,54,42,54,12,True,171,42,d1,True
12,BFS,20,23,20,23,3,True,108,27,d1,True
12,DFS,20,23,20,23,3,True,83,20,d1,True
12,CheapestFirst,20,23,20,23,3,True,95,23,d2,False
13,BFS,69,96,69,96,27,True,396,99,d1,True
13,DFS,69,96,69,96,27,True,279,69,d1,True
13,CheapestFirst,69,96,69,96,27,True,279,69,d1,True
14,BFS,85,53,53,85,32,True,356,89,d2,True
14,DFS,85,53,53,85,32,True,343,85,d1,False
14,CheapestFirst,85,53,53,85,32,True,343,85,d1,False
15,BFS,12,17,12,17,5,True,80,20,d1,True
15,DFS,12,17,12,17,5,True,51,12,d1,True
15,CheapestFirst,12,17,12,17,5,True,71,17,d2,False
16,BFS,92,71,71,92,21,True,376,94,d2,True
16,DFS,92,71,71,92,21,True,371,92,d1,False
16,CheapestFirst,92,71,71,92,21,True,371,92,d1,False
17,BFS,1,6,1,6,5,True,7,1,d1,True
17,DFS,1,6,1,6,5,True,7,1,d1,True
17,CheapestFirst,1,6,1,6,5,True,27,6,d2,False
18,BFS,75,97,75,97,22,True,400,100,d1,True
18,DFS,75,97,75,97,22,True,303,75,d1,True
18,CheapestFirst,75,97,75,97,22,True,391,97,d2,False
19,BFS,1,9,1,9,8,True,7,1,d1,True
19,DFS,1,9,1,9,8,True,7,1,d1,True
19,CheapestFirst,1,9,1,9,8,True,39,9,d2,False
20,BFS,54,21,21,54,33,True,167,41,d2,True
20,DFS,54,21,21,54,33,True,219,54,d1,False
20,CheapestFirst,54,21,21,54,33,True,87,21,d2,True
21,BFS,25,59,25,59,34,True,203,50,d1,True
21,DFS,25,59,25,59,34,True,103,25,d1,True
21,CheapestFirst,25,59,25,59,34,True,103,25,d1,True
22,BFS,62,94,62,94,32,True,388,97,d1,True
22,DFS,62,94,62,94,32,True,251,62,d1,True
22,CheapestFirst,62,94,62,94,32,True,251,62,d1,True
23,BFS,94,32,32,94,62,True,255,63,d2,True
23,DFS,94,32,32,94,62,True,379,94,d1,False
23,CheapestFirst,94,32,32,94,62,True,131,32,d2,True
24,BFS,79,41,41,79,38,True,327,81,d2,True
24,DFS,79,41,41,79,38,True,319,79,d1,False
24,CheapestFirst,79,41,41,79,38,True,319,79,d1,False
25,BFS,43,74,43,74,31,True,316,79,d1,True
25,DFS,43,74,43,74,31,True,175,43,d1,True
25,CheapestFirst,43,74,43,74,31,True,299,74,d2,False
26,BFS,70,23,23,70,47,True,183,45,d2,True
26,DFS,70,23,23,70,47,True,283,70,d1,False
26,CheapestFirst,70,23,23,70,47,True,283,70,d1,False
27,BFS,91,2,2,91,89,True,15,3,d2,True
27,DFS,91,2,2,91,89,True,367,91,d1,False
27,CheapestFirst,91,2,2,91,89,True,11,2,d2,True
28,BFS,40,76,40,76,36,True,316,79,d1,True
28,DFS,40,76,40,76,36,True,163,40,d1,True
28,CheapestFirst,40,76,40,76,36,True,307,76,d2,False
29,BFS,79,68,68,79,11,True,332,83,d2,True
29,DFS,79,68,68,79,11,True,319,79,d1,False
29,CheapestFirst,79,68,68,79,11,True,319,79,d1,False
30,BFS,44,39,39,44,5,True,188,47,d2,True
30,DFS,44,39,39,44,5,True,179,44,d1,False
30,CheapestFirst,44,39,39,44,5,True,179,44,d1,False
31,BFS,100,59,59,100,41,True,412,103,d2,True
31,DFS,100,59,59,100,41,True,403,100,d1,False
31,CheapestFirst,100,59,59,100,41,True,403,100,d1,False
32,BFS,99,89,89,99,10,True,420,105,d2,True
32,DFS,99,89,89,99,10,True,399,99,d1,False
32,CheapestFirst,99,89,89,99,10,True,359,89,d2,True
33,BFS,24,85,24,85,61,True,195,48,d1,True
33,DFS,24,85,24,85,61,True,99,24,d1,True
33,CheapestFirst,24,85,24,85,61,True,343,85,d2,False
34,BFS,81,34,34,81,47,True,271,67,d2,True
34,DFS,81,34,34,81,47,True,327,81,d1,False
34,CheapestFirst,81,34,34,81,47,True,139,34,d2,True
35,BFS,10,62,10,62,52,True,83,20,d1,True
35,DFS,10,62,10,62,52,True,43,10,d1,True
35,CheapestFirst,10,62,10,62,52,True,43,10,d1,True
36,BFS,36,38,36,38,2,True,164,41,d1,True
36,DFS,36,38,36,38,2,True,147,36,d1,True
36,CheapestFirst,36,38,36,38,2,True,155,38,d2,False
37,BFS,60,98,60,98,38,True,412,103,d1,True
37,DFS,60,98,60,98,38,True,243,60,d1,True
37,CheapestFirst,60,98,60,98,38,True,243,60,d1,True
38,BFS,74,3,3,74,71,True,23,5,d2,True
38,DFS,74,3,3,74,71,True,299,74,d1,False
38,CheapestFirst,74,3,3,74,71,True,299,74,d1,False
39,BFS,39,84,39,84,45,True,315,78,d1,True
39,DFS,39,84,39,84,45,True,159,39,d1,True
39,CheapestFirst,39,84,39,84,45,True,339,84,d2,False
40,BFS,60,62,60,62,2,True,264,66,d1,True
40,DFS,60,62,60,62,2,True,243,60,d1,True
40,CheapestFirst,60,62,60,62,2,True,243,60,d1,True
41,BFS,79,77,77,79,2,True,328,82,d2,True
41,DFS,79,77,77,79,2,True,319,79,d1,False
41,CheapestFirst,79,77,77,79,2,True,311,77,d2,True
42,BFS,9,43,9,43,34,True,75,18,d1,True
42,DFS,9,43,9,43,34,True,39,9,d1,True
42,CheapestFirst,9,43,9,43,34,True,39,9,d1,True
43,BFS,70,69,69,70,1,True,292,73,d2,True
43,DFS,70,69,69,70,1,True,283,70,d1,False
43,CheapestFirst,70,69,69,70,1,True,283,70,d1,False
44,BFS,50,28,28,50,22,True,216,54,d2,True
44,DFS,50,28,28,50,22,True,203,50,d1,False
44,CheapestFirst,50,28,28,50,22,True,203,50,d1,False
45,BFS,73,98,73,98,25,True,404,101,d1,True
