problem_id,arm,dist1,dist2,min,max,spread,solved,node_count,expansions,disjunct_reached,picked_cheapest
0,BFS,44,85,44,85,41,True,352,88,d1,True
0,DFS,44,85,44,85,41,True,179,44,d1,True
0,CheapestFirst,44,85,44,85,41,True,179,44,d1,True
0,DNF,44,85,44,85,41,True,519,129,,
1,BFS,33,73,33,73,40,True,267,66,d1,True
1,DFS,33,73,33,73,40,True,135,33,d1,True
1,CheapestFirst,33,73,33,73,40,True,135,33,d1,True
1,DNF,33,73,33,73,40,True,427,106,,
2,BFS,12,97,12,97,85,True,99,24,d1,True
2,DFS,12,97,12,97,85,True,51,12,d1,True
2,CheapestFirst,12,97,12,97,85,True,51,12,d1,True
2,DNF,12,97,12,97,85,True,439,109,,
3,BFS,45,87,45,87,42,True,360,90,d1,True
3,DFS,45,87,45,87,42,True,183,45,d1,True
3,CheapestFirst,45,87,45,87,42,True,183,45,d1,True
3,DNF,45,87,45,87,42,True,531,132,,
4,BFS,47,22,22,47,25,True,175,43,d2,True
4,DFS,47,22,22,47,25,True,191,47,d1,False
4,CheapestFirst,47,22,22,47,25,True,191,47,d1,False
4,DNF,47,22,22,47,25,True,279,69,,
5,BFS,27,25,25,27,2,True,120,30,d2,True
5,DFS,27,25,25,27,2,True,111,27,d1,False
5,CheapestFirst,27,25,25,27,2,True,111,27,d1,False
5,DNF,27,25,25,27,2,True,211,52,,
6,BFS,29,1,1,29,28,True,11,2,d2,True
6,DFS,29,1,1,29,28,True,119,29,d1,False
6,CheapestFirst,29,1,1,29,28,True,119,29,d1,False
6,DNF,29,1,1,29,28,True,123,30,,
7,BFS,21,54,21,54,33,True,171,42,d1,True
7,DFS,21,54,21,54,33,True,87,21,d1,True
7,CheapestFirst,21,54,21,54,33,True,219,54,d2,False
7,DNF,21,54,21,54,33,True,303,75,,
8,BFS,47,89,47,89,42,True,372,93,d1,True
8,DFS,47,89,47,89,42,True,191,47,d1,True
8,CheapestFirst,47,89,47,89,42,True,359,89,d2,False
8,DNF,47,89,47,89,42,True,547,136,,
9,BFS,68,19,19,68,49,True,151,37,d2,True
9,DFS,68,19,19,68,49,True,275,68,d1,False
9,CheapestFirst,68,19,19,68,49,True,79,19,d2,True
9,DNF,68,19,19,68,49,True,351,87,,
10,BFS,16,55,16,55,39,True,131,32,d1,True
10,DFS,16,55,16,55,39,True,67,16,d1,True
10,CheapestFirst,16,55,16,55,39,True,67,16,d1,True
