problem_id,both,unified_only,dnf_only,neither,pool_size,u_nodes,d_nodes,u_conditions,d_conditions,u_unique,d_unique,u_expansions,d_expansions,u_cycles,d_cycles,u_violations,d_violations,shared,r1,r2,caps
0,21,0,0,0,21,169,169,43,43,33,33,43,43,0,0,0,0,1,3,3,0
1,21,0,0,0,21,69,69,18,18,16,16,18,18,0,0,0,0,0,4,1,0
2,21,0,0,0,21,61,61,16,16,15,15,16,16,0,0,0,0,3,5,6,0
3,21,0,0,0,21,169,169,43,43,32,32,43,43,0,0,0,0,1,3,4,0
4,21,0,0,0,21,361,361,91,91,57,57,91,91,0,0,0,0,3,7,6,0
5,17,0,0,4,21,33,33,9,9,8,8,9,9,0,0,0,0,2,3,6,0
6,21,0,0,0,21,81,81,21,21,13,13,21,21,0,0,0,0,0,1,4,0
7,20,0,0,0,20,141,141,36,36,27,27,36,36,0,0,0,0,3,5,6,0
8,19,0,0,2,21,137,137,35,35,25,25,35,35,0,0,0,0,1,5,3,0
9,18,0,0,3,21,85,85,22,22,14,14,22,22,0,0,0,0,4,5,8,0
10,20,0,0,0,20,81,81,21,21,18,18,21,21,0,0,0,0,0,1,3,0
11,21,0,0,0,21,201,201,51,51,36,36,51,51,0,0,0,0,1,3,5,0
12,21,0,0,0,21,125,125,32,32,29,29,32,32,0,0,0,0,2,4,5,0
13,19,0,0,1,20,213,213,54,54,37,37,54,54,0,0,0,0,1,4,2,0
14,21,0,0,0,21,61,61,16,16,14,14,16,16,0,0,0,0,2,5,5,0
15,21,0,0,0,21,85,85,22,22,16,16,22,22,0,0,0,0,3,6,5,0
16,21,0,0,0,21,105,105,27,27,18,18,27,27,0,0,0,0,4,5,7,0
17,20,0,0,0,20,93,93,24,24,21,21,24,24,0,0,0,0,0,2,2,0
18,21,0,0,0,21,61,61,16,16,10,10,16,16,0,0,0,0,0,1,2,0
19,21,0,0,0,21,265,265,67,67,48,48,67,67,0,0,0,0,2,3,5,0
20,21,0,0,0,21,185,185,47,47,30,30,47,47,0,0,0,0,2,3,3,0
21,20,0,0,0,20,93,93,24,24,21,21,24,24,0,0,0,0,0,2,5,0
22,21,0,0,0,21,101,101,26,26,19,19,26,26,0,0,0,0,2,3,6,0
23,21,0,0,0,21,73,73,19,19,17,17,19,19,0,0,0,0,0,4,2,0
24,20,0,0,1,21,237,237,60,60,33,33,60,60,0,0,0,0,2,3,3,0
25,21,0,0,0,21,25,25,7,7,6,6,7,7,0,0,0,0,1,4,4,0
26,21,0,0,0,21,61,61,16,16,11,11,16,16,0,0,0,0,1,4,2,0
27,21,0,0,0,21,181,181,46,46,35,35,46,46,0,0,0,0,1,3,2,0
28,21,0,0,0,21,81,81,21,21,20,20,21,21,0,0,0,0,0,1,4,0
29,19,0,0,2,21,197,197,50,50,39,39,50,50,0,0,0,0,0,4,2,0
30,20,0,0,1,21,145,145,37,37,24,24,37,37,0,0,0,0,1,3,3,0
31,21,0,0,0,21,89,89,23,23,17,17,23,23,0,0,0,0,4,7,6,0
32,21,0,0,0,21,193,193,49,49,33,33,49,49,0,0,0,0,4,5,5,0
33,21,0,0,0,21,157,157,40,40,31,31,40,40,0,0,0,0,1,3,5,0
34,18,0,0,3,21,173,173,44,44,33,33,44,44,0,0,0,0,5,7,8,0
35,21,0,0,0,21,241,241,61,61,42,42,61,61,0,0,0,0,3,7,4,0
36,17,0,0,4,21,161,161,41,41,29,29,41,41,0,0,0,0,1,3,4,0
37,21,0,0,0,21,69,69,18,18,13,13,18,18,0,0,0,0,3,4,6,0
38,19,0,0,2,21,309,309,78,78,64,64,78,78,0,0,0,0,3,6,5,0
39,21,0,0,0,21,57,57,15,15,13,13,15,15,0,0,0,0,0,4,1,0
40,20,0,0,0,20,173,173,44,44,25,25,44,44,0,0,0,0,1,2,6,0
41,19,0,0,1,20,145,145,37,37,23,23,37,37,0,0,0,0,0,4,4,0
42,21,0,0,0,21,125,125,32,32,31,31,32,32,0,0,0,0,1,6,2,0
43,21,0,0,0,21,85,85,22,22,14,14,22,22,0,0,0,0,3,4,7,0
44,21,0,0,0,21,89,89,23,23,17,17,23,23,0,0,0,0,2,3,5,0
45,20,0,0,0,20,45,45,12,12,11,11,12,12,0,0,0,0,1,4,2,0
46,21,0,0,0,21,169,169,43,43,24,24,43,43,0,0,0,0,0,3,4,0
47,20,0,0,0,20,237,237,60,60,43,43,60,60,0,0,0,0,2,3,5,0
48,21,0,0,0,21,101,101,26,26,21,21,26,26,0,0,0,0,2,4,4,0
49,19,0,0,0,19,77,77,20,20,17,17,20,20,0,0,0,0,1,3,4,0
