problem_id,both,unified_only,dnf_only,neither,pool_size,u_nodes,d_nodes,u_conditions,d_conditions,u_unique,d_unique,u_expansions,d_expansions,u_cycles,d_cycles,u_violations,d_violations,shared,r1,r2,caps,u_false_success,d_false_success,db_actions,db_conflict,mean_del,branch_actions,branch_conflict,n_disjuncts,n_solvable,interfere_p
0,48,0,0,0,48,72,193,19,49,7,26,19,49,0,0,0,0,1,1,1,0,0,0,15,0,0.8666666666666667,8,0,2,2,0.0
1,48,0,0,0,48,72,109,19,28,7,16,19,28,0,0,0,0,1,1,1,0,4,0,15,1,0.9333333333333333,8,1,2,2,0.2
2,0,0,28,0,28,72,121,19,31,7,27,19,31,0,0,28,0,1,1,1,0,52,0,15,2,1.1333333333333333,8,2,2,1,0.4
3,0,0,32,0,32,72,117,19,30,7,25,19,30,0,0,32,0,1,1,1,0,60,0,15,6,1.5333333333333334,8,4,2,1,0.6
4,26,0,0,0,26,72,117,19,30,7,26,19,30,0,0,0,0,1,1,1,0,0,0,15,5,1.6,8,2,2,1,0.8
5,0,0,0,18,18,72,125,19,32,7,17,19,32,0,0,18,0,1,1,1,0,34,0,15,11,2.0,8,7,2,0,1.0
6,48,0,0,0,48,72,213,19,54,7,27,19,54,0,0,0,0,1,1,1,0,0,0,15,0,0.8666666666666667,8,0,2,2,0.0
7,11,0,0,0,11,72,101,19,26,7,25,19,26,0,0,0,0,1,1,1,0,0,0,15,5,1.3333333333333333,8,4,2,1,0.2
8,44,0,0,0,44,72,117,19,30,7,27,19,30,0,0,0,0,1,1,1,0,0,0,15,3,1.2,8,3,2,1,0.4
9,34,0,0,0,34,72,169,19,43,7,25,19,43,0,0,0,0,1,1,1,0,2,0,15,7,1.4666666666666666,8,3,2,2,0.6
10,3,0,15,0,18,72,193,19,49,7,26,19,49,0,0,15,0,1,1,1,0,30,0,15,8,1.8,8,4,2,2,0.8
11,0,0,0,8,8,72,133,19,34,7,18,19,34,0,0,8,0,1,1,1,0,15,0,15,9,2.0,8,6,2,0,1.0
12,48,0,0,0,48,72,193,19,49,7,26,19,49,0,0,0,0,1,1,1,0,0,0,15,0,0.8666666666666667,8,0,2,2,0.0
13,48,0,0,0,48,72,121,19,31,7,19,19,31,0,0,0,0,1,1,1,0,0,0,15,1,1.0666666666666667,8,0,2,2,0.2
14,14,0,0,0,14,72,109,19,28,7,21,19,28,0,0,0,0,1,1,1,0,1,0,15,4,1.6,8,2,2,2,0.4
15,16,0,0,0,16,72,113,19,29,7,26,19,29,0,0,0,0,1,1,1,0,1,0,15,3,1.4,8,3,2,1,0.6
16,18,0,0,0,18,72,97,19,25,7,24,19,25,0,0,0,0,1,1,1,0,0,0,15,8,1.8,8,6,2,1,0.8
17,0,0,0,24,24,72,133,19,34,7,18,19,34,0,0,24,0,1,1,1,0,46,0,15,6,1.8,8,5,2,0,1.0
18,48,0,0,0,48,72,117,19,30,7,17,19,30,0,0,0,0,1,1,1,0,0,0,15,0,0.8666666666666667,8,0,2,2,0.0
19,18,0,0,0,18,72,173,19,44,7,26,19,44,0,0,0,0,1,1,1,0,1,0,15,1,1.1333333333333333,8,1,2,2,0.2
20,0,0,0,10,10,72,141,19,36,7,18,19,36,0,0,10,0,1,1,1,0,19,0,15,3,1.3333333333333333,8,3,2,0,0.4
21,22,0,0,0,22,72,117,19,30,7,26,19,30,0,0,0,0,1,1,1,0,0,0,15,5,1.4,8,3,2,1,0.6
22,9,0,0,0,9,72,113,19,29,7,25,19,29,0,0,0,0,1,1,1,0,0,0,15,9,1.9333333333333333,8,5,2,1,0.8
23,10,0,0,0,10,72,97,19,25,7,25,19,25,0,0,0,0,1,1,1,0,2,0,15,6,1.8,8,4,2,1,1.0
24,48,0,0,0,48,72,173,19,44,7,26,19,44,0,0,0,0,1,1,1,0,0,0,15,0,0.8666666666666667,8,0,2,2,0.0
25,20,0,28,0,48,72,213,19,54,7,27,19,54,0,0,28,0,1,1,1,0,54,0,15,1,1.1333333333333333,8,1,2,2,0.2
26,14,0,32,0,46,72,213,19,54,7,27,19,54,0,0,32,0,1,1,1,0,60,0,15,2,1.0666666666666667,8,2,2,2,0.4
27,44,0,0,0,44,72,133,19,34,7,27,19,34,0,0,0,0,1,1,1,0,0,0,15,2,1.2,8,1,2,1,0.6
28,16,0,0,0,16,72,105,19,27,7,20,19,27,0,0,0,0,1,1,1,0,2,0,15,6,1.8,8,4,2,2,0.8
29,0,0,0,8,8,72,137,19,35,7,20,19,35,0,0,8,0,1,1,1,0,15,0,15,7,1.8666666666666667,8,4,2,0,1.0
30,48,0,0,0,48,72,213,19,54,7,27,19,54,0,0,0,0,1,1,1,0,0,0,15,0,0.8666666666666667,8,0,2,2,0.0
31,6,0,34,0,40,72,133,19,34,7,27,19,34,0,0,34,0,1,1,1,0,64,0,15,3,1.2,8,3,2,2,0.2
32,0,0,28,0,28,72,125,19,32,7,27,19,32,0,0,28,0,1,1,1,0,64,0,15,2,1.0666666666666667,8,2,2,1,0.4
33,0,0,0,36,36,72,133,19,34,7,18,19,34,0,0,36,0,1,1,1,0,70,0,15,4,1.3333333333333333,8,3,2,0,0.6
34,0,0,0,22,22,72,137,19,35,7,18,19,35,0,0,22,0,1,1,1,0,42,0,15,7,1.6666666666666667,8,4,2,0,0.8
35,0,0,0,18,18,72,133,19,34,7,18,19,34,0,0,18,0,1,1,1,0,34,0,15,9,2.0,8,6,2,0,1.0
36,48,0,0,0,48,72,121,19,31,7,19,19,31,0,0,0,0,1,1,1,0,0,0,15,0,0.8666666666666667,8,0,2,2,0.0
37,48,0,0,0,48,72,173,19,44,7,26,19,44,0,0,0,0,1,1,1,0,0,0,15,0,0.9333333333333333,8,0,2,2,0.2
38,14,0,0,0,14,72,177,19,45,7,27,19,45,0,0,0,0,1,1,1,0,1,0,15,3,1.3333333333333333,8,2,2,2,0.4
39,12,0,0,0,12,72,117,19,30,7,27,19,30,0,0,0,0,1,1,1,0,0,0,15,5,1.4666666666666666,8,2,2,1,0.6
40,20,0,0,0,20,72,161,19,41,7,24,19,41,0,0,0,0,1,1,1,0,5,0,15,5,1.6,8,3,2,2,0.8
41,0,0,0,22,22,72,137,19,35,7,18,19,35,0,0,22,0,1,1,1,0,42,0,15,9,1.9333333333333333,8,5,2,0,1.0
42,48,0,0,0,48,72,173,19,44,7,26,19,44,0,0,0,0,1,1,1,0,0,0,15,0,0.8666666666666667,8,0,2,2,0.0
43,48,0,0,0,48,72,133,19,34,7,22,19,34,0,0,0,0,1,1,1,0,0,0,15,0,0.9333333333333333,8,0,2,2,0.2
44,5,0,10,0,15,72,165,19,42,7,27,19,42,0,0,10,0,1,1,1,0,19,0,15,4,1.4666666666666666,8,3,2,1,0.4
45,40,0,0,0,40,72,89,19,23,7,23,19,23,0,0,0,0,1,1,1,0,14,0,15,4,1.3333333333333333,8,4,2,1,0.6
46,0,0,8,0,8,72,89,19,23,7,23,19,23,0,0,8,0,1,1,1,0,15,0,15,7,1.8,8,6,2,1,0.8
47,9,0,0,0,9,72,93,19,24,7,24,19,24,0,0,0,0,1,1,1,0,1,0,15,9,2.066666666666667,8,6,2,1,1.0
48,48,0,0,0,48,72,213,19,54,7,27,19,54,0,0,0,0,1,1,1,0,0,0,15,0,0.8666666666666667,8,0,2,2,0.0
49,48,0,0,0,48,72,133,19,34,7,22,19,34,0,0,0,0,1,1,1,0,4,0,15,1,0.9333333333333333,8,1,2,2,0.2
50,0,0,0,26,26,72,157,19,40,7,20,19,40,0,0,26,0,1,1,1,0,60,0,15,4,1.3333333333333333,8,1,2,0,0.4
51,13,0,0,0,13,72,105,19,27,7,16,19,27,0,0,0,0,1,1,1,0,2,0,15,5,1.6,8,3,2,2,0.6
52,36,0,0,0,36,72,109,19,28,7,27,19,28,0,0,0,0,1,1,1,0,0,0,15,4,1.3333333333333333,8,2,2,1,0.8
53,0,0,0,10,10,72,133,19,34,7,19,19,34,0,0,10,0,1,1,1,0,19,0,15,7,1.8666666666666667,8,4,2,0,1.0
54,48,0,0,0,48,72,117,19,30,7,17,19,30,0,0,0,0,1,1,1,0,0,0,15,0,0.8666666666666667,8,0,2,2,0.0
55,12,0,36,0,48,72,153,19,39,7,27,19,39,0,0,36,0,1,1,1,0,68,0,15,1,0.9333333333333333,8,1,2,2,0.2
56,0,0,0,32,32,72,137,19,35,7,18,19,35,0,0,32,0,1,1,1,0,60,0,15,5,1.3333333333333333,8,4,2,0,0.4
57,40,0,0,0,40,72,125,19,32,7,21,19,32,0,0,0,0,1,1,1,0,4,0,15,4,1.3333333333333333,8,1,2,2,0.6
58,0,0,0,8,8,72,137,19,35,7,18,19,35,0,0,8,0,1,1,1,0,15,0,15,8,1.8,8,5,2,0,0.8
59,9,0,0,0,9,72,109,19,28,7,24,19,28,0,0,0,0,1,1,1,0,0,0,15,9,1.9333333333333333,8,5,2,1,1.0
