problem_id,both,unified_only,dnf_only,neither,pool_size,u_nodes,d_nodes,u_conditions,d_conditions,u_unique,d_unique,u_expansions,d_expansions,u_cycles,d_cycles,u_violations,d_violations,shared,r1,r2,caps,u_false_success,d_false_success,db_actions,db_conflict,mean_del,branch_actions,branch_conflict,n_disjuncts,n_disjuncts,n_solvable
0,3,0,18,0,21,209,269,54,69,31,39,54,69,0,0,18,0,4,2,2,0,37,0,20,15,3.8,13,9,4,4,4
1,19,0,0,2,21,189,265,49,68,26,36,49,68,0,0,0,0,1,3,3,0,10,0,20,7,3.85,14,5,4,4,3
2,1,0,19,0,20,337,269,86,69,37,31,86,69,0,0,19,0,2,3,4,0,38,0,20,13,3.35,17,10,4,4,3
3,21,0,0,0,21,121,125,32,33,21,19,32,33,0,0,0,0,3,2,3,0,0,0,20,11,3.7,12,6,4,4,4
4,1,0,20,0,21,189,369,49,94,34,43,49,94,0,0,20,0,2,3,4,0,48,0,20,10,3.7,11,5,4,4,3
5,3,0,18,0,21,105,181,28,47,20,38,28,47,0,0,18,0,2,2,3,0,45,0,20,12,3.7,9,5,4,4,4
6,21,0,0,0,21,101,245,27,63,16,35,27,63,0,0,0,0,2,2,2,0,0,0,20,13,3.35,9,3,4,4,4
7,21,0,0,0,21,129,153,34,40,23,25,34,40,0,0,0,0,1,3,3,0,0,0,20,4,3.45,11,2,4,4,4
8,21,0,0,0,21,157,377,41,96,28,50,41,96,0,0,0,0,1,2,4,0,2,0,20,3,3.55,10,1,4,4,4
9,5,0,15,0,20,237,313,61,80,26,35,61,80,0,0,15,0,4,2,2,0,31,0,20,16,4.0,16,12,4,4,4
10,20,0,0,0,20,289,333,74,85,29,35,74,85,0,0,0,0,4,2,2,0,0,0,20,15,3.2,15,10,4,4,3
11,2,0,19,0,21,149,125,39,33,26,18,39,33,0,0,19,0,2,4,4,0,52,0,20,11,3.4,12,7,4,4,4
12,1,0,20,0,21,173,229,45,59,25,30,45,59,0,0,20,0,2,2,2,0,41,0,20,10,3.8,11,6,4,4,3
