problem_id,arm,dist1,dist2,min,max,spread,solved,node_count,expansions,disjunct_reached,picked_cheapest,hops1,hops2,cheaper_by_cost,cheaper_by_hops,agree
0,BFS,8164.148595575345,10116.091173892619,8164.148595575345,10116.091173892619,1951.9425783172737,True,356,89,d1,True,74,86,d1,d1,True
0,DFS,8164.148595575345,10116.091173892619,8164.148595575345,10116.091173892619,1951.9425783172737,True,299,74,d1,True,74,86,d1,d1,True
0,CheapestFirst,8164.148595575345,10116.091173892619,8164.148595575345,10116.091173892619,1951.9425783172737,True,356,89,d1,True,74,86,d1,d1,True
0,DNF,8164.148595575345,10116.091173892619,8164.148595575345,10116.091173892619,1951.9425783172737,True,643,160,,,74,86,d1,d1,True
1,BFS,5936.922247172439,8260.89175089974,5936.922247172439,8260.89175089974,2323.9695037273013,True,300,75,d1,True,57,70,d1,d1,True
1,DFS,5936.922247172439,8260.89175089974,5936.922247172439,8260.89175089974,2323.9695037273013,True,231,57,d1,True,57,70,d1,d1,True
1,CheapestFirst,5936.922247172439,8260.89175089974,5936.922247172439,8260.89175089974,2323.9695037273013,True,300,75,d1,True,57,70,d1,d1,True
1,DNF,5936.922247172439,8260.89175089974,5936.922247172439,8260.89175089974,2323.9695037273013,True,511,127,,,57,70,d1,d1,True
2,BFS,8015.827527290059,16281.85614387983,8015.827527290059,16281.85614387983,8266.02861658977,True,347,86,d1,True,43,100,d1,d1,True
2,DFS,8015.827527290059,16281.85614387983,8015.827527290059,16281.85614387983,8266.02861658977,True,175,43,d1,True,43,100,d1,d1,True
2,CheapestFirst,8015.827527290059,16281.85614387983,8015.827527290059,16281.85614387983,8266.02861658977,True,351,87,d1,True,43,100,d1,d1,True
2,DNF,8015.827527290059,16281.85614387983,8015.827527290059,16281.85614387983,8266.02861658977,True,575,143,,,43,100,d1,d1,True
3,BFS,3356.5400216665457,14070.328698120562,3356.5400216665457,14070.328698120562,10713.788676454016,True,107,26,d1,True,13,90,d1,d1,True
3,DFS,3356.5400216665457,14070.328698120562,3356.5400216665457,14070.328698120562,10713.788676454016,True,55,13,d1,True,13,90,d1,d1,True
3,CheapestFirst,3356.5400216665457,14070.328698120562,3356.5400216665457,14070.328698120562,10713.788676454016,True,183,45,d1,True,13,90,d1,d1,True
3,DNF,3356.5400216665457,14070.328698120562,3356.5400216665457,14070.328698120562,10713.788676454016,True,415,103,,,13,90,d1,d1,True
4,BFS,18907.381939601364,11796.479586091955,11796.479586091955,18907.381939601364,7110.902353509409,True,416,104,d2,True,100,59,d2,d2,True
4,DFS,18907.381939601364,11796.479586091955,11796.479586091955,18907.381939601364,7110.902353509409,True,403,100,d1,False,100,59,d2,d2,True
4,CheapestFirst,18907.381939601364,11796.479586091955,11796.479586091955,18907.381939601364,7110.902353509409,True,416,104,d2,True,100,59,d2,d2,True
4,DNF,18907.381939601364,11796.479586091955,11796.479586091955,18907.381939601364,7110.902353509409,True,639,159,,,100,59,d2,d2,True
